,zip_code,latitude,longitude,zip_code_str,county
161,6442,41.341898,-72.433732,06442,5
162,6443,41.344481,-72.624521,06443,5
163,6444,41.562671,-72.933271,06444,0
164,6447,41.636439,-72.454002,06447,1
165,6450,41.535812,-72.775686,06450,0
166,6451,41.541906,-72.823409,06451,0
167,6455,41.514163,-72.717844,06455,5
168,6456,41.51669,-72.553751,06456,5
169,6457,41.548611,-72.656784,06457,5
170,6460,41.214266,-73.050812,06460,0
171,6461,41.239863,-73.075393,06461,0
172,6467,41.567845,-72.899757,06467,0
173,6468,41.339236,-73.222828,06468,2
174,6469,41.510944,-72.443166,06469,5
175,6470,41.395083,-73.317663,06470,2
176,6471,41.332106,-72.780996,06471,0
177,6472,41.382766,-72.775194,06472,0
178,6473,41.381459,-72.856369,06473,0
179,6475,41.299897,-72.382734,06475,5
180,6477,41.284951,-73.024637,06477,0
181,6478,41.444001,-73.147999,06478,0
182,6479,41.57477,-72.9119,06479,0
183,6480,41.598834,-72.589071,06480,5
184,6481,41.536736,-72.697937,06481,5
185,6482,41.408136,-73.242485,06482,0
186,6483,41.385122,-73.083525,06483,0
187,6484,41.304515,-73.139041,06484,0
188,6488,41.47598,-73.229692,06488,0
189,6489,41.614169,-72.869926,06489,4
190,6492,41.458657,-72.804516,06492,0
191,6498,41.303695,-72.478017,06498,5
192,6510,41.306517,-72.926008,06510,0
193,6511,41.31703,-72.927316,06511,0
194,6512,41.278274,-72.875249,06512,0
195,6513,41.316688,-72.870791,06513,0
196,6514,41.376089,-72.943351,06514,0
197,6515,41.328039,-72.97084,06515,0
198,6516,41.272573,-72.964967,06516,0
199,6517,41.34944,-72.907149,06517,0
200,6518,41.430832,-72.912021,06518,0
201,6519,41.293934,-72.932028,06519,0
202,6524,41.422964,-72.994187,06524,0
203,6525,41.363538,-73.003892,06525,0
204,6604,41.18292,-73.208027,06604,2
205,6605,41.161599,-73.217622,06605,2
206,6606,41.21211,-73.206673,06606,2
207,6607,41.170744,-73.168038,06607,2
208,6608,41.186475,-73.181251,06608,2
209,6610,41.209283,-73.164603,06610,2
210,6611,41.267861,-73.213691,06611,2
211,6612,41.264945,-73.300479,06612,2
