,zip_code,latitude,longitude,county
239,1775,42.429688,-71.512514,4
240,1776,42.383367,-71.42107,4
241,1778,42.343687,-71.381186,6
242,1801,42.488769,-71.154438,9
243,1803,42.503227,-71.201713,9
244,1810,42.648044,-71.161751,12
245,1821,42.54933,-71.251725,9
246,1824,42.59079,-71.355182,4
247,1826,42.679723,-71.30068,4
248,1827,42.676149,-71.499772,4
249,1830,42.796313,-71.053436,12
250,1832,42.791114,-71.132859,12
251,1833,42.727879,-70.982036,12
252,1834,42.7539,-71.015935,12
253,1835,42.751233,-71.0943,12
254,1840,42.706763,-71.160403,12
255,1841,42.712015,-71.164873,12
256,1843,42.689974,-71.160383,12
257,1844,42.742468,-71.179218,12
258,1845,42.673909,-71.091334,12
259,1850,42.656045,-71.303309,4
260,1851,42.627812,-71.33533,4
261,1852,42.631912,-71.296025,4
262,1854,42.649481,-71.348229,4
263,1860,42.838603,-71.011997,12
264,1862,42.578543,-71.295592,4
265,1863,42.63378,-71.38947,4
266,1864,42.578222,-71.084398,12
267,1867,42.535183,-71.105423,9
268,1876,42.611801,-71.227571,9
269,1879,42.667762,-71.42882,4
270,1880,42.501524,-71.067489,9
271,1886,42.585541,-71.44025,4
272,1887,42.564647,-71.164516,9
273,1890,42.452752,-71.144319,9
274,1901,42.460419,-70.946379,12
275,1902,42.471039,-70.941535,12
276,1904,42.492456,-70.97393,12
277,1905,42.465998,-70.975792,9
278,1906,42.468432,-71.013946,9
279,1907,42.474145,-70.906597,12
280,1908,42.428256,-70.926041,9
281,1913,42.851293,-70.95581,12
282,1915,42.570665,-70.867583,12
283,1921,42.683108,-71.01833,12
284,1922,42.757313,-70.914241,12
285,1923,42.574174,-70.950516,12
286,1929,42.64042,-70.771172,12
287,1930,42.61991,-70.681824,12
288,1937,42.585723,-70.984051,12
289,1938,42.68386,-70.842666,12
290,1940,42.534146,-71.038333,12
291,1944,42.576636,-70.767154,12
292,1945,42.501835,-70.859126,12
293,1949,42.606666,-71.010316,12
294,1950,42.812358,-70.891095,12
295,1951,42.773351,-70.850211,12
296,1952,42.844793,-70.841476,12
297,1960,42.534279,-70.969782,12
298,1966,42.640715,-70.620248,12
299,1969,42.720873,-70.89122,12
300,1970,42.524435,-70.870859,12
301,1982,42.626223,-70.85723,12
302,1983,42.641379,-70.94344,12
303,1984,42.600633,-70.883303,12
304,1985,42.799565,-70.964428,12
305,2019,42.076682,-71.47449,6
306,2021,42.175737,-71.125385,9
307,2025,42.236423,-70.814436,11
308,2026,42.246872,-71.179462,9
309,2030,42.23416,-71.291167,6
310,2032,42.156882,-71.216187,6
311,2035,42.061338,-71.245802,6
312,2038,42.084858,-71.410571,6
313,2043,42.216098,-70.88127,11
314,2045,42.292253,-70.923919,11
315,2047,42.133914,-70.686037,11
316,2048,42.017302,-71.21641,6
317,2050,42.115139,-70.710331,11
318,2052,42.184599,-71.305307,6
319,2053,42.156203,-71.430345,6
320,2054,42.173091,-71.363751,6
321,2056,42.113655,-71.334163,6
322,2061,42.164569,-70.818844,11
323,2062,42.18736,-71.195955,9
324,2066,42.202273,-70.758184,11
325,2067,42.1076,-71.181828,6
326,2071,42.103425,-71.273589,6
327,2072,42.119006,-71.10365,11
328,2081,42.146694,-71.270532,6
329,2090,42.219645,-71.216769,9
330,2093,42.052671,-71.356858,6
331,2108,42.357768,-71.064858,9
332,2109,42.367032,-71.050493,9
333,2110,42.361962,-71.047846,9
334,2111,42.350518,-71.059077,9
335,2113,42.365331,-71.055233,9
336,2114,42.363174,-71.068646,9
337,2115,42.337105,-71.105696,9
338,2116,42.350579,-71.076397,9
339,2118,42.337582,-71.070482,9
