,zip_code,latitude,longitude,county
1172,13346,42.818442,-75.544331,44
1173,13348,42.709982,-75.066926,56
1174,13350,43.061009,-75.000439,42
1175,13352,43.313337,-75.116208,42
1176,13353,43.447279,-74.694629,28
1177,13354,43.265093,-75.268497,45
1178,13355,42.809841,-75.430434,56
1179,13357,42.971061,-75.081209,42
1180,13360,43.72179,-74.714836,28
1181,13361,42.904352,-74.86756,42
1182,13362,42.982178,-75.522003,44
1183,13363,43.324528,-75.513109,45
1184,13364,42.804977,-75.261071,56
1185,13365,43.125689,-74.853291,42
1186,13367,43.757731,-75.532709,25
1187,13368,43.638483,-75.286787,25
1188,13402,42.892429,-75.500629,44
1189,13403,43.164533,-75.267645,45
1190,13404,43.736385,-75.471758,25
1191,13406,43.134514,-74.924889,42
1192,13407,42.968801,-74.950576,42
1193,13408,42.922949,-75.676749,44
1194,13409,42.976475,-75.595112,44
1195,13410,42.931043,-74.612591,39
1196,13411,42.633789,-75.306457,56
1197,13413,43.060413,-75.279398,45
1198,13415,42.596494,-75.198473,56
1199,13416,43.187371,-74.970659,42
1200,13417,43.100974,-75.293788,45
1201,13418,42.845704,-75.38046,56
1202,13420,43.717768,-74.984147,25
1203,13421,43.061915,-75.660092,44
1204,13424,43.152367,-75.365215,45
1205,13425,42.964793,-75.48706,44
1206,13428,42.915086,-74.546249,39
1207,13431,43.209082,-75.073328,42
1208,13433,43.594911,-75.248869,25
1209,13435,43.304981,-75.150772,42
1210,13436,43.811023,-74.666226,28
1211,13437,43.580307,-75.803859,2
1212,13438,43.354138,-75.159613,42
1213,13439,42.857316,-74.995275,56
1214,13440,43.215771,-75.461779,45
1215,13441,43.226377,-75.408248,45
1216,13450,42.701927,-74.810297,31
1217,13452,43.043056,-74.63047,39
1218,13454,43.219834,-74.757687,42
1219,13456,43.000029,-75.255495,45
1220,13459,42.775008,-74.588678,39
1221,13460,42.687707,-75.44229,56
1222,13461,43.070467,-75.599126,44
1223,13464,42.687973,-75.615788,35
1224,13468,42.84803,-74.851887,39
1225,13469,43.214828,-75.302367,45
1226,13470,43.209569,-74.609995,39
1227,13471,43.357597,-75.577397,44
1228,13472,43.697411,-75.067862,25
1229,13473,43.646449,-75.443434,25
1230,13475,42.893741,-74.830529,39
1231,13476,43.087503,-75.509514,44
1232,13477,43.032894,-75.512948,44
1233,13478,43.144012,-75.581897,44
1234,13480,42.917854,-75.363169,45
1235,13483,43.397335,-75.826061,2
1236,13484,42.866325,-75.65919,44
1237,13485,42.787528,-75.315224,56
1238,13486,43.345147,-75.344599,45
1239,13488,42.688638,-74.750589,31
1240,13489,43.460774,-75.552463,25
1241,13490,43.11008,-75.426511,45
1242,13491,42.864135,-75.168133,56
1243,13492,43.114604,-75.33768,45
1244,13493,43.432843,-75.897509,2
1245,13494,43.532529,-75.141288,25
1246,13495,43.11089,-75.277497,45
1247,13501,43.081283,-75.225833,45
1248,13502,43.141264,-75.154707,42
1249,13601,43.968892,-75.906501,1
1250,13602,44.065388,-75.784305,1
1251,13603,44.035974,-75.793813,1
1252,13605,43.80741,-76.050358,2
1253,13606,43.872576,-76.014735,1
1254,13607,44.298548,-75.936006,1
1255,13608,44.26094,-75.613698,1
1256,13612,43.985237,-75.76937,1
1257,13613,44.870613,-74.750443,3
1258,13614,44.530889,-75.69117,1
1259,13615,44.047775,-75.984057,1
1260,13616,44.030078,-75.857573,1
1261,13617,44.580531,-75.142767,5
1262,13618,44.114766,-76.290981,1
1263,13619,43.978952,-75.600977,1
1264,13620,43.908782,-75.448325,25
1265,13621,44.834246,-75.080093,5
1266,13622,44.100667,-76.106996,1
1267,13623,44.449786,-75.752462,1
1268,13624,44.20948,-76.093055,1
1269,13625,44.538101,-74.928377,5
1270,13626,43.830086,-75.734774,1
1271,13628,44.030542,-75.682394,1
1272,13630,44.498619,-75.311532,5
1273,13633,44.49743,-75.455993,5
1274,13634,44.01129,-76.073698,1
1275,13635,44.286952,-75.281419,5
1276,13636,43.743443,-76.11655,2
1277,13637,44.106202,-75.818322,1
1278,13638,44.019072,-75.741692,1
1279,13639,44.263676,-75.150529,5
1280,13640,44.303561,-76.028103,1
1281,13641,44.273801,-76.003351,1
1282,13642,44.335388,-75.455879,5
1283,13643,44.031812,-75.717094,1
1284,13646,44.446082,-75.674198,1
1285,13647,44.605875,-74.98058,5
1286,13648,44.150217,-75.318,5
1287,13650,43.81131,-76.216097,2
1288,13651,43.866158,-76.176966,2
1289,13652,44.432661,-75.186773,5
1290,13654,44.577138,-75.436852,5
1291,13655,44.981859,-74.65015,3
1292,13656,44.192383,-75.955933,1
1293,13658,44.747782,-75.271203,5
1294,13659,43.738005,-75.86338,2
1295,13660,44.773868,-75.160958,5
1296,13661,43.70962,-76.098396,2
1297,13662,44.932334,-74.883932,3
1298,13664,44.584013,-75.64546,5
1299,13665,44.04846,-75.434366,25
1300,13666,44.218485,-74.926076,5
1301,13667,44.837267,-74.960097,3
1302,13668,44.75482,-74.986306,3
1303,13669,44.672777,-75.482342,5
1304,13670,44.167379,-75.116735,5
1305,13672,44.470543,-74.660706,3
1306,13673,44.164347,-75.718028,1
1307,13674,43.738561,-76.04818,2
1308,13675,44.281718,-75.846286,1
1309,13676,44.65496,-74.926222,3
1310,13677,44.512429,-75.179673,5
1311,13678,44.813766,-74.992918,3
1312,13679,44.319891,-75.770605,1
1313,13680,44.595988,-75.323398,5
1314,13681,44.428054,-75.373151,5
1315,13682,43.843312,-75.901905,1
1316,13684,44.356596,-75.013141,5
1317,13685,43.925469,-76.085527,1
1318,13687,44.439018,-74.838177,3
1319,13690,44.097456,-75.007653,5
1320,13691,44.231562,-75.770537,1
1321,13692,44.288793,-76.026292,1
1322,13693,43.985747,-76.246105,1
1323,13694,44.868927,-75.134242,5
1324,13695,44.102929,-74.922258,5
1325,13696,44.694741,-74.888048,3
1326,13697,44.754714,-74.810347,3
1327,13730,42.223737,-75.532187,18
1328,13731,42.12965,-74.787822,31
1329,13732,42.049447,-76.167535,23
1330,13733,42.301697,-75.478883,18
1331,13734,42.069955,-76.409653,23
1332,13736,42.324084,-76.202038,23
1333,13739,42.349124,-74.789149,31
1334,13740,42.273812,-74.756997,31
1335,13743,42.211894,-76.338222,23
1336,13744,42.243494,-75.907999,23
1337,13746,42.268926,-75.884667,23
1338,13748,42.042579,-75.822521,18
1339,13750,42.471013,-74.857905,31
1340,13751,42.454448,-74.901809,31
1341,13752,42.190557,-74.897015,31
1342,13753,42.30696,-74.926915,31
1343,13754,42.088461,-75.447935,18
1344,13755,42.055241,-74.96692,58
1345,13756,42.004099,-75.10067,58
1346,13757,42.410607,-74.891229,31
1347,13760,42.133332,-76.084622,23
1348,13774,41.960129,-75.149396,58
1349,13775,42.327909,-75.134022,31
1350,13776,42.470423,-75.331951,56
1351,13777,42.258166,-75.989587,23
1352,13778,42.359214,-75.759499,18
1353,13780,42.422485,-75.476583,18
1354,13782,42.169629,-74.991301,31
1355,13783,41.993662,-75.266006,58
1356,13784,42.426878,-76.221343,23
1357,13786,42.44098,-74.693941,31
1358,13787,42.212627,-75.671949,18
1359,13788,42.339013,-74.666282,4
1360,13790,42.165361,-76.001942,23
1361,13794,42.393238,-76.01372,23
1362,13795,42.056638,-75.778938,18
1363,13796,42.557188,-75.13213,56
1364,13797,42.333665,-76.040401,23
1365,13801,42.505085,-75.77697,35
1366,13802,42.242134,-76.041266,23
1367,13803,42.456883,-76.067124,23
1368,13804,42.225702,-75.38422,18
1369,13806,42.379101,-74.957234,31
1370,13807,42.60747,-74.988238,31
1371,13808,42.525233,-75.2622,56
1372,13809,42.403814,-75.395541,18
1373,13810,42.606817,-75.108363,56
1374,13811,42.234926,-76.164054,23
1375,13812,42.03006,-76.354752,23
